,text,is_depressed
0,Morri por dentro e ninguém foi no meu enterro.,True
1,"Só sabe a dor, quem passa. O resto, só palpita.",True
2,"Quando o mundo vira as costas para você, você vira as costas para o mundo.",True
3,As minhas cicatrizes nunca foram em vão.,True
4,"Meu coração sofre em silêncio, esperando uma oportunidade.",True
5,"Quando está escuro
Tome um pouco de tempo para abraçar a si mesma
Tome um pouco de tempo para notar o que está em volta
Antes que se vá

-I won't let go-",True
6,"Não se aproxime muito
É escuro aqui dentro
É onde meus demônios se escondem

-Demons-",True
7,"Acredite, eu nunca estou tão bem quanto pareço.",True
8,"""Não sou de vidro mais me quebro fácil. ninguém percebe os estilhaços pq é para o lado de dentro que se espalham todos os cacos.""",True
9,"""A dor é a única emoção que não usa máscaras""",True
10,"A ferida sara, mais o ferido nunca mais será o mesmo.",True
11,"Nem feliz, nem triste. Apenas suportando.",True
12,Palavras não podem expressar qualquer tristeza nesse momento.,True
13,"Hoje o sol não brilhou, os pássaros não cantaram, os risos se calaram e as lágrimas rolaram em meu rosto. Meu coração sofre em silêncio.",True
14,Vamos sorrir para evitar perguntas.,True
15,"Você faz tudo certo, mas falta algo.",True
16,Nenhum poeta é feliz. É através das suas tristeza que surgem as mais lindas das poesias.,True
17,"A pior coisa do mundo é sorrir o dia todo, e não dormir à noite por causa da tristeza",True
18,"NEGROS eu amo vcs, vcs são tudo no mundo. sem vcs a gente não seria nada, isso é do fundo do meu coração... amo vcs todos, vcs são lindos, não tenham vergonha da cor da pele de vcs,",True
19,"O que o peito finge sentir, os lábios fingem sorrir.",True
20,"Mente sobrecarregada, e um vazio devastador.",True
21,"Ironicamente, a tristeza de um poeta só é escrita pela caneta da solidão.",True
22,P,False
23,"Em cima do solo, eu não tenho valor nenhum. Quem sabe embaixo dele, eu tenha algum.",True
24,A dor não desaparece. Você apenas cria espaço para ela.,True
25,"Só sabe o que é dor, a pele que foi rompida e se abriu uma ferida.",True
26,Há um lugar no coração que nunca será preenchido.,True
27,A verdade é que muitos morreram sonhando.,True
28,Quantos silêncios já não gritaram por socorro.,True
29,Há dores impossíveis de ignorar.,True
30,"Cada lágrima que cai, mostra o quanto somos frágeis.",True
31,O silêncio esconde muita coisa.,True
32,"Quando você vive em trevas, a escuridão não tem assusta mais.",True
33,"Lágrimas escorrem, mas sorrisos disfarçam.",True
34,"Quem dera se as minhas palhaçadas fossem sinal de alegria. Às vezes, é só um disfarce da minha tristeza.",True
35,"Tento me esconder do mundo, das pessoas, mas nunca consigo me esconder da tristeza.",True
