,text,is_depressed
0,Morri por dentro e ninguém foi no meu enterro.,True
1,"Só sabe a dor, quem passa. O resto, só palpita.",True
2,"Quando o mundo vira as costas para você, você vira as costas para o mundo.",True
3,As minhas cicatrizes nunca foram em vão.,True
4,"Meu coração sofre em silêncio, esperando uma oportunidade.",True
5,pic.twitter.com/RxwvMj1y4N,True
6,pic.twitter.com/VB5kuwzyH3,True
7,pic.twitter.com/wrKpZrRc9Z,True
8,pic.twitter.com/Qa6WvXeTPl,True
9,"Quando está escuro
Tome um pouco de tempo para abraçar a si mesma
Tome um pouco de tempo para notar o que está em volta
Antes que se vá

-I won't let go-",True
10,"Não se aproxime muito
É escuro aqui dentro
É onde meus demônios se escondem

-Demons-",True
11,"Acredite, eu nunca estou tão bem quanto pareço.",True
12,"""Não sou de vidro mais me quebro fácil. ninguém percebe os estilhaços pq é para o lado de dentro que se espalham todos os cacos.""",True
13,"""A dor é a única emoção que não usa máscaras""",True
14,"A ferida sara, mais o ferido nunca mais será o mesmo.",True
15,"Nem feliz, nem triste. Apenas suportando.",True
16,Palavras não podem expressar qualquer tristeza nesse momento.,True
17,"Hoje o sol não brilhou, os pássaros não cantaram, os risos se calaram e as lágrimas rolaram em meu rosto. Meu coração sofre em silêncio.",True
18,Vamos sorrir para evitar perguntas.,True
19,"Você faz tudo certo, mas falta algo.",True
20,Nenhum poeta é feliz. É através das suas tristeza que surgem as mais lindas das poesias.,True
21,"A pior coisa do mundo é sorrir o dia todo, e não dormir à noite por causa da tristeza",True
22,"NEGROS eu amo vcs, vcs são tudo no mundo. sem vcs a gente não seria nada, isso é do fundo do meu coração... amo vcs todos, vcs são lindos, não tenham vergonha da cor da pele de vcs,",True
23,"O que o peito finge sentir, os lábios fingem sorrir.",True
24,"Mente sobrecarregada, e um vazio devastador.",True
25,"Ironicamente, a tristeza de um poeta só é escrita pela caneta da solidão.",True
27,P,True
28,"Em cima do solo, eu não tenho valor nenhum. Quem sabe embaixo dele, eu tenha algum.",True
29,A dor não desaparece. Você apenas cria espaço para ela.,True
30,"Só sabe o que é dor, a pele que foi rompida e se abriu uma ferida.",True
31,Há um lugar no coração que nunca será preenchido.,True
32,A verdade é que muitos morreram sonhando.,True
33,Quantos silêncios já não gritaram por socorro.,True
34,pic.twitter.com/9pZcLjPncB,True
35,pic.twitter.com/onOPLow0MW,True
36,pic.twitter.com/p0lAdzcdQ1,True
37,Há dores impossíveis de ignorar.,True
38,"Cada lágrima que cai, mostra o quanto somos frágeis.",True
39,O silêncio esconde muita coisa.,True
